         289080 function calls (282149 primitive calls) in 0.977 seconds

   Ordered by: cumulative time
   List reduced from 443 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.977    0.977 /home/iankoh/inf2009_proj/tools/full_profile_dashboards.py:152(make_legacy)
        1    0.000    0.000    0.788    0.788 /home/iankoh/inf2009_proj/_legacy_dashboard_ref.py:155(__init__)
16876/11115    0.456    0.000    0.526    0.000 {method 'call' of '_tkinter.tkapp' objects}
        1    0.000    0.000    0.458    0.458 /home/iankoh/inf2009_proj/_legacy_dashboard_ref.py:1026(__init__)
    29/10    0.000    0.000    0.291    0.029 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/customtkinter/windows/widgets/ctk_scrollbar.py:128(_draw)
        1    0.000    0.000    0.289    0.289 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/customtkinter/windows/ctk_tk.py:33(__init__)
        1    0.000    0.000    0.288    0.288 /usr/lib/python3.13/tkinter/__init__.py:2442(__init__)
        1    0.288    0.288    0.288    0.288 {built-in method _tkinter.create}
    31/10    0.000    0.000    0.281    0.028 /usr/lib/python3.13/tkinter/__init__.py:1472(update_idletasks)
      211    0.001    0.000    0.224    0.001 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/customtkinter/windows/widgets/core_rendering/draw_engine.py:96(draw_rounded_rect_with_border)
      211    0.005    0.000    0.223    0.001 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/customtkinter/windows/widgets/core_rendering/draw_engine.py:186(__draw_rounded_rect_with_border_font_shapes)
   530/37    0.001    0.000    0.217    0.006 /usr/lib/python3.13/tkinter/__init__.py:2066(__call__)
     17/7    0.000    0.000    0.212    0.030 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/customtkinter/windows/widgets/ctk_scrollbar.py:252(set)
        1    0.001    0.001    0.180    0.180 /home/iankoh/inf2009_proj/_legacy_dashboard_ref.py:1213(__init__)
        1    0.000    0.000    0.165    0.165 /home/iankoh/inf2009_proj/_legacy_dashboard_ref.py:308(_flush_ui_refresh)
     1183    0.004    0.000    0.128    0.000 /usr/lib/python3.13/tkinter/__init__.py:2971(_create)
      860    0.002    0.000    0.125    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/customtkinter/windows/widgets/core_rendering/ctk_canvas.py:73(create_aa_circle)
      861    0.001    0.000    0.119    0.000 /usr/lib/python3.13/tkinter/__init__.py:3011(create_text)
   136/91    0.001    0.000    0.114    0.001 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/customtkinter/windows/widgets/core_widget_classes/ctk_base_class.py:182(_update_dimensions_event)
       64    0.001    0.000    0.107    0.002 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/customtkinter/windows/widgets/ctk_frame.py:94(_draw)
       46    0.001    0.000    0.099    0.002 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/customtkinter/windows/widgets/ctk_button.py:183(_draw)
       22    0.001    0.000    0.098    0.004 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/customtkinter/windows/widgets/ctk_button.py:21(__init__)
      327    0.002    0.000    0.095    0.000 /usr/lib/python3.13/tkinter/__init__.py:2765(__init__)
       31    0.001    0.000    0.093    0.003 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/customtkinter/windows/widgets/ctk_frame.py:17(__init__)
        4    0.000    0.000    0.092    0.023 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/customtkinter/windows/widgets/ctk_scrollable_frame.py:20(__init__)
     2378    0.010    0.000    0.089    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/customtkinter/windows/widgets/core_rendering/ctk_canvas.py:83(coords)
        6    0.000    0.000    0.085    0.014 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/customtkinter/windows/widgets/ctk_scrollbar.py:17(__init__)
       42    0.002    0.000    0.082    0.002 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/customtkinter/windows/widgets/ctk_label.py:25(__init__)
        1    0.000    0.000    0.080    0.080 /home/iankoh/inf2009_proj/_legacy_dashboard_ref.py:1186(__init__)
     3441    0.007    0.000    0.080    0.000 /usr/lib/python3.13/tkinter/__init__.py:1805(_configure)
       72    0.000    0.000    0.070    0.001 /usr/lib/python3.13/tkinter/__init__.py:3348(__init__)
     2809    0.002    0.000    0.067    0.000 /usr/lib/python3.13/tkinter/__init__.py:3099(itemconfigure)
     5541    0.027    0.000    0.063    0.000 /usr/lib/python3.13/tkinter/__init__.py:1641(_options)
        1    0.000    0.000    0.050    0.050 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/customtkinter/windows/widgets/ctk_optionmenu.py:20(__init__)
        1    0.000    0.000    0.049    0.049 /home/iankoh/inf2009_proj/_legacy_dashboard_ref.py:1140(__init__)
        1    0.000    0.000    0.046    0.046 /home/iankoh/inf2009_proj/_legacy_dashboard_ref.py:2795(__init__)
        1    0.000    0.000    0.046    0.046 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/customtkinter/windows/widgets/ctk_optionmenu.py:185(_draw)
        1    0.000    0.000    0.042    0.042 /home/iankoh/inf2009_proj/_legacy_dashboard_ref.py:1149(refresh)
        1    0.000    0.000    0.037    0.037 /home/iankoh/inf2009_proj/_legacy_dashboard_ref.py:2803(refresh)
        1    0.000    0.000    0.036    0.036 /home/iankoh/inf2009_proj/_legacy_dashboard_ref.py:1000(__init__)
      116    0.003    0.000    0.034    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/customtkinter/windows/widgets/core_widget_classes/ctk_base_class.py:32(__init__)
        6    0.000    0.000    0.032    0.005 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/customtkinter/windows/widgets/ctk_entry.py:25(__init__)
      513    0.007    0.000    0.032    0.000 /usr/lib/python3.13/tkinter/__init__.py:1720(_substitute)
        1    0.000    0.000    0.030    0.030 /home/iankoh/inf2009_proj/_legacy_dashboard_ref.py:2854(__init__)
        1    0.000    0.000    0.027    0.027 /home/iankoh/inf2009_proj/_legacy_dashboard_ref.py:2915(__init__)
        1    0.000    0.000    0.024    0.024 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/customtkinter/windows/ctk_tk.py:83(destroy)
        1    0.000    0.000    0.024    0.024 /usr/lib/python3.13/tkinter/__init__.py:2502(destroy)
        7    0.000    0.000    0.023    0.003 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/customtkinter/windows/widgets/ctk_entry.py:153(_draw)
      239    0.003    0.000    0.023    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/customtkinter/windows/widgets/core_rendering/ctk_canvas.py:101(itemconfig)
        4    0.000    0.000    0.022    0.006 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/customtkinter/windows/widgets/ctk_checkbox.py:18(__init__)
        8    0.000    0.000    0.020    0.002 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/customtkinter/windows/widgets/ctk_checkbox.py:176(_draw)
     3713    0.002    0.000    0.019    0.000 /usr/lib/python3.13/tkinter/__init__.py:3067(find_withtag)
    116/1    0.000    0.000    0.018    0.018 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/customtkinter/windows/widgets/core_widget_classes/ctk_base_class.py:94(destroy)
    327/1    0.001    0.000    0.018    0.018 /usr/lib/python3.13/tkinter/__init__.py:2782(destroy)
