         51221 function calls (50563 primitive calls) in 0.056 seconds

   Ordered by: cumulative time
   List reduced from 339 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.056    0.056 /home/iankoh/inf2009_proj/tools/full_profile_dashboards.py:200(call_build)
        1    0.001    0.001    0.056    0.056 /home/iankoh/inf2009_proj/dashboard.py:510(build_dataset_summary)
        8    0.000    0.000    0.046    0.006 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/io/parsers/readers.py:349(read_csv)
        8    0.000    0.000    0.046    0.006 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/io/parsers/readers.py:258(_read)
        8    0.000    0.000    0.040    0.005 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/io/parsers/readers.py:1931(read)
        8    0.000    0.000    0.024    0.003 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/frame.py:702(__init__)
        8    0.000    0.000    0.024    0.003 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/internals/construction.py:375(dict_to_mgr)
        8    0.000    0.000    0.017    0.002 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/internals/construction.py:96(arrays_to_mgr)
        8    0.012    0.001    0.016    0.002 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/io/parsers/c_parser_wrapper.py:203(read)
      509    0.004    0.000    0.013    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/construction.py:531(sanitize_array)
        8    0.001    0.000    0.013    0.002 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/internals/construction.py:553(_homogenize)
13834/13806    0.003    0.000    0.006    0.000 {built-in method builtins.isinstance}
       14    0.000    0.000    0.005    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/series.py:2093(mode)
        8    0.000    0.000    0.005    0.001 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/io/parsers/readers.py:1600(__init__)
       68    0.000    0.000    0.005    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/indexes/base.py:7919(ensure_index)
        8    0.000    0.000    0.005    0.001 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/io/parsers/readers.py:1871(_make_engine)
        8    0.000    0.000    0.005    0.001 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:2311(create_block_manager_from_column_arrays)
        8    0.000    0.000    0.004    0.001 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:2380(_form_blocks)
        8    0.001    0.000    0.004    0.001 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:2426(_tuples_to_blocks_no_consolidate)
       30    0.001    0.000    0.004    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/indexes/base.py:486(__new__)
        8    0.001    0.000    0.004    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/io/parsers/c_parser_wrapper.py:336(_concatenate_chunks)
       14    0.000    0.000    0.003    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/arrays/base.py:2677(_mode)
       14    0.001    0.000    0.003    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/algorithms.py:996(mode)
        8    0.002    0.000    0.003    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/io/parsers/c_parser_wrapper.py:65(__init__)
      479    0.001    0.000    0.003    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/internals/blocks.py:2245(new_block_2d)
     2301    0.001    0.000    0.002    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/dtypes/generic.py:43(_instancecheck)
      479    0.002    0.000    0.002    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/dtypes/concat.py:52(concat_compat)
       94    0.001    0.000    0.002    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/arrays/string_.py:756(_from_sequence)
       14    0.000    0.000    0.002    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/series.py:369(__init__)
       14    0.000    0.000    0.002    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/frame.py:4337(__getitem__)
        8    0.000    0.000    0.001    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/io/common.py:697(get_handle)
      493    0.001    0.000    0.001    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/indexes/base.py:3601(get_loc)
      479    0.001    0.000    0.001    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/internals/blocks.py:2352(ensure_block_shape)
     2301    0.001    0.000    0.001    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/dtypes/generic.py:38(_check)
       94    0.001    0.000    0.001    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/arrays/string_.py:312(construct_array_type)
       80    0.000    0.000    0.001    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/arrays/string_.py:197(__init__)
       14    0.000    0.000    0.001    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/frame.py:4966(_get_item)
      493    0.001    0.000    0.001    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/internals/blocks.py:2187(maybe_coerce_values)
       14    0.000    0.000    0.001    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/frame.py:4292(_ixs)
3496/2894    0.001    0.000    0.001    0.000 {built-in method builtins.len}
       14    0.000    0.000    0.001    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/algorithms.py:114(_ensure_data)
      249    0.000    0.000    0.001    0.000 shibokensupport/signature/loader.py:59(feature_import)
      493    0.000    0.000    0.001    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/common.py:596(require_length_match)
      509    0.000    0.000    0.001    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/construction.py:718(_sanitize_ndim)
       16    0.000    0.000    0.001    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/indexes/base.py:849(_engine)
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.13/glob.py:16(glob)
    21/11    0.000    0.000    0.001    0.000 /usr/lib/python3.13/glob.py:63(_iglob)
       80    0.000    0.000    0.001    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/_config/config.py:143(get_option)
       14    0.000    0.000    0.001    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/algorithms.py:1433(safe_sort)
      493    0.000    0.000    0.001    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/internals/blocks.py:2216(get_block_type)
      487    0.000    0.000    0.001    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/arrays/base.py:559(__iter__)
        8    0.000    0.000    0.001    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/io/common.py:296(_get_filepath_or_buffer)
      249    0.000    0.000    0.001    0.000 shibokensupport/feature.py:88(feature_import)
       14    0.000    0.000    0.001    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:1205(iget)
     3407    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
       16    0.000    0.000    0.001    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/dtypes/cast.py:127(maybe_convert_platform)
       14    0.000    0.000    0.001    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/algorithms.py:192(_reconstruct_data)
       24    0.000    0.000    0.001    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/indexes/base.py:5334(__contains__)
       96    0.000    0.000    0.000    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/numpy/_core/numeric.py:323(full)
       14    0.000    0.000    0.000    0.000 /home/iankoh/inf2009_proj/inf2009_venv/lib/python3.13/site-packages/pandas/core/frame.py:4954(_box_col_values)


